Station Name,Air Temperature,Wet Bulb Temperature,Humidity,Rain Intensity,Interval Rain,Total Rain,Precipitation Type,Wind Direction,Wind Speed,Maximum Wind Speed,Barometric Pressure,Solar Radiation,Heading,Battery Life,Measurement Timestamp Label,Measurement ID,Wind Speed Ratio
63rd Street Weather Station,7.0,5.9,86,7.2,5.0,5.2,60.0,119,5.1,7.1,986.1,38,354.0,12.0,2015-04-25 09:00:00,63rdStreetWeatherStation201504250900,0.7183098591549295
63rd Street Weather Station,6.1,4.3,76,0.0,0.0,2.5,0.0,11,7.2,13.0,989.9,4,354.0,11.9,2015-04-30 05:00:00,63rdStreetWeatherStation201504300500,0.5538461538461539
Oak Street Weather Station,20.8,19.1,86,0.0,4.1,4.5,60.0,261,2.6,6.9,986.9,360,0.0,12.0,2015-05-26 14:00:00,OakStreetWeatherStation201505261400,0.37681159420289856
Oak Street Weather Station,21.7,18.9,76,0.0,0.0,4.5,0.0,1,0.7,2.3,986.7,481,0.0,12.1,2015-05-26 15:00:00,OakStreetWeatherStation201505261500,0.30434782608695654
Oak Street Weather Station,24.0,19.5,66,0.0,0.0,4.5,0.0,272,1.6,4.2,986.0,658,0.0,12.1,2015-05-26 16:00:00,OakStreetWeatherStation201505261600,0.38095238095238093
Oak Street Weather Station,24.2,20.3,70,0.0,0.3,4.8,60.0,331,0.6,2.3,985.8,139,0.0,12.1,2015-05-26 17:00:00,OakStreetWeatherStation201505261700,0.2608695652173913
Oak Street Weather Station,21.5,18.2,73,0.0,0.2,5.4,0.0,0,1.7,6.0,987.2,13,0.0,12.0,2015-05-26 20:00:00,OakStreetWeatherStation201505262000,0.2833333333333333
Oak Street Weather Station,21.7,17.9,70,0.0,0.0,5.4,0.0,0,0.8,3.7,987.8,0,0.0,12.1,2015-05-26 21:00:00,OakStreetWeatherStation201505262100,0.21621621621621623
Oak Street Weather Station,21.8,17.9,69,0.0,0.0,5.4,0.0,271,0.9,2.7,988.9,0,0.0,12.1,2015-05-26 23:00:00,OakStreetWeatherStation201505262300,0.3333333333333333
Oak Street Weather Station,21.8,18.4,73,0.0,0.0,5.4,0.0,280,2.0,5.4,988.5,0,0.0,12.2,2015-05-27 00:00:00,OakStreetWeatherStation201505272400,0.37037037037037035
Oak Street Weather Station,21.7,18.1,71,0.0,0.0,5.4,0.0,301,0.8,2.6,988.0,0,0.0,12.1,2015-05-27 01:00:00,OakStreetWeatherStation201505270100,0.3076923076923077
Oak Street Weather Station,20.8,17.9,76,0.0,0.0,5.4,0.0,329,1.5,2.9,987.9,0,0.0,12.1,2015-05-27 02:00:00,OakStreetWeatherStation201505270200,0.5172413793103449
Oak Street Weather Station,20.3,17.7,78,0.0,0.0,5.4,0.0,279,2.6,6.5,988.4,0,0.0,12.1,2015-05-27 03:00:00,OakStreetWeatherStation201505270300,0.4
Oak Street Weather Station,21.6,17.6,67,0.0,0.0,5.4,0.0,269,2.3,4.7,991.5,783,0.0,12.1,2015-05-27 09:00:00,OakStreetWeatherStation201505270900,0.4893617021276595
Oak Street Weather Station,22.5,17.6,62,0.0,0.0,5.4,0.0,290,1.3,3.9,991.6,191,0.0,12.1,2015-05-27 10:00:00,OakStreetWeatherStation201505271000,0.33333333333333337
